seq,sym,sym_name,bid_q9,ask_q9,new_mid_q9,prev_mid_q9,delta_mid,delta_index,index_value,velocity,deviation,mean_window,window_filled,severity,alert
966,2,TSLA,123259,123320,123289,123315,-26,-3,131299,-3,-6,131305,1,0,0
967,2,TSLA,123259,123392,123325,123289,36,3,131302,3,-2,131304,1,0,0
968,6,MRVL,31140,31232,31186,31204,-18,-1,131301,-1,-3,131304,1,0,0
969,6,MRVL,31176,31232,31204,31186,18,0,131301,0,-2,131303,1,0,0
970,6,MRVL,31140,31232,31186,31204,-18,-1,131300,-1,-2,131302,1,0,0
971,2,TSLA,123259,123341,123300,123325,-25,-3,131297,-3,-5,131302,1,0,0
972,2,TSLA,123136,123141,123138,123300,-162,-14,131283,-14,-17,131300,1,0,0
973,2,TSLA,123213,123244,123228,123138,90,7,131290,7,-9,131299,1,0,0
974,2,TSLA,123259,123274,123266,123228,38,3,131293,3,-6,131299,1,0,0
975,2,TSLA,123259,123290,123274,123266,8,0,131293,0,-5,131298,1,0,0
976,5,NVDA,246333,246436,246384,246221,163,19,131312,19,14,131298,1,0,0
977,2,TSLA,123213,123218,123215,123274,-59,-6,131306,-6,8,131298,1,0,0
978,2,TSLA,123259,123290,123274,123215,59,5,131311,5,12,131299,1,0,0
979,6,MRVL,31176,31232,31204,31186,18,0,131311,0,11,131300,1,0,0
980,2,TSLA,123136,123208,123172,123274,-102,-9,131302,-9,2,131300,1,0,0
981,5,NVDA,246077,246436,246256,246384,-128,-16,131286,-16,-13,131299,1,0,0
982,5,NVDA,246333,246436,246384,246256,128,15,131301,15,2,131299,1,0,0
983,5,NVDA,246006,246436,246221,246384,-163,-20,131281,-20,-17,131298,1,0,0
984,5,NVDA,246333,246436,246384,246221,163,19,131300,19,3,131297,1,0,0
985,5,NVDA,246006,246436,246221,246384,-163,-20,131280,-20,-16,131296,1,0,0
986,5,NVDA,246333,246436,246384,246221,163,19,131299,19,3,131296,1,0,0
987,5,NVDA,246006,246436,246221,246384,-163,-20,131279,-20,-16,131295,1,0,0
